,model,selling_price,year,seller_type,km_driven,owner_type,fuel_type,transmission_type,company
158,Honda CR-V 2.0L 2WD AT,1290000,2015,Dealer,80000,First Owner,Petrol,Automatic,Honda
159,Volkswagen Polo 1.2 MPI Highline,455000,2015,Dealer,46000,First Owner,Petrol,Manual,Volkswagen
160,Hyundai Grand i10 Nios Asta,710000,2019,Individual,9000,First Owner,Petrol,Manual,Hyundai
161,Mahindra TUV 300 T4,450000,2016,Individual,70000,First Owner,Diesel,Manual,Mahindra
162,Toyota Etios Liva 1.2 VX,465000,2015,Dealer,33000,First Owner,Petrol,Manual,Toyota
163,Honda City V MT,770000,2016,Dealer,53000,First Owner,Petrol,Manual,Honda
164,Tata Indigo LS (TDI) BS-III,320000,2015,Individual,50000,First Owner,Diesel,Manual,Tata
165,Tata Indigo LX (TDI) BS-III,325000,2015,Individual,50000,First Owner,Diesel,Manual,Tata
166,Ford Endeavour 3.2 Titanium AT 4X4,2900000,2018,Individual,11387,First Owner,Diesel,Automatic,Ford
167,Honda Amaze VX i-DTEC,720000,2018,Individual,50000,First Owner,Diesel,Manual,Honda
168,Mahindra KUV 100 mFALCON D75 K6 5str,375000,2016,Dealer,52000,First Owner,Diesel,Manual,Mahindra
169,Chevrolet Aveo 1.4 LT ABS BSIV,145000,2010,Individual,60000,First Owner,Petrol,Manual,Chevrolet
170,Datsun GO Plus T BSIV,400000,2015,Individual,35000,First Owner,Petrol,Manual,Datsun
171,Renault Duster 85PS Diesel RxL Plus,600000,2015,Individual,48000,First Owner,Diesel,Manual,Renault
172,Honda Jazz 1.2 V i VTEC,600000,2018,Individual,18000,First Owner,Petrol,Manual,Honda
173,Maruti Wagon R LXI DUO,270000,2012,Individual,57413,First Owner,LPG,Manual,Maruti
174,Hyundai i20 Magna 1.2,500000,2015,Individual,30000,First Owner,Petrol,Manual,Hyundai
175,Hyundai Verna 1.6 CRDi SX,650000,2015,Dealer,55000,First Owner,Diesel,Manual,Hyundai
176,Chevrolet Sail 1.2 LS ABS,380000,2015,Individual,120000,First Owner,Petrol,Manual,Chevrolet
177,Mitsubishi Pajero Sport 4X4,728000,2012,Individual,165000,First Owner,Diesel,Manual,Mitsubishi
178,Maruti Swift AMT ZXI,660000,2018,Individual,10000,First Owner,Petrol,Automatic,Maruti
179,Tata Indica Vista Aura 1.3 Quadrajet,180000,2010,Individual,120000,First Owner,Diesel,Manual,Tata
180,BMW 3 Series 320d Luxury Line,2089999,2016,Dealer,68000,First Owner,Diesel,Automatic,BMW
181,Chevrolet Beat Diesel LS,250000,2015,Dealer,55000,First Owner,Diesel,Manual,Chevrolet
182,Kia Seltos HTK Plus G,1275000,2020,Dealer,8000,First Owner,Petrol,Manual,Kia
183,Toyota Corolla Altis G,455000,2012,Dealer,80000,First Owner,Petrol,Manual,Toyota
184,Maruti Swift VDI,495000,2015,Dealer,65000,First Owner,Diesel,Manual,Maruti
185,Maruti Ritz VXI,220000,2010,Individual,47000,First Owner,Petrol,Manual,Maruti
186,Maruti S-Cross 2017-2020 Zeta DDiS 200 SH,800000,2018,Individual,185000,First Owner,Diesel,Manual,Maruti
187,Hyundai Santa Fe 2WD AT,1295000,2014,Dealer,68000,First Owner,Diesel,Automatic,Hyundai
188,Hyundai Grand i10 Sportz,475000,2016,Individual,25000,First Owner,Petrol,Manual,Hyundai
189,Tata Sumo Gold EX,380000,2014,Individual,280000,First Owner,Diesel,Manual,Tata
190,Maruti S-Cross 2017-2020 Zeta DDiS 200 SH,900000,2018,Individual,7791,First Owner,Diesel,Manual,Maruti
191,Maruti Ciaz VXi Plus,530000,2015,Individual,70000,First Owner,Petrol,Manual,Maruti
192,Tata Tiago 1.2 Revotron XZ,530000,2016,Individual,9500,First Owner,Petrol,Manual,Tata
193,Hyundai Verna 1.6 VTVT S,650000,2015,Individual,9100,First Owner,Petrol,Manual,Hyundai
194,Honda New Accord 2008-2011 2.4 MT,495000,2010,Dealer,82000,First Owner,Petrol,Manual,Honda
195,Honda City 1.5 S MT,335000,2010,Dealer,86000,First Owner,Petrol,Manual,Honda
196,Audi Q5 40 TDI Technology,4675000,2020,Dealer,19000,First Owner,Diesel,Automatic,Audi
197,Audi A4 2.0 TDI,1290000,2013,Dealer,78000,First Owner,Diesel,Automatic,Audi
198,Ford Figo Diesel Titanium,300000,2011,Individual,60000,First Owner,Diesel,Manual,Ford
199,Maruti Wagon R ZXI AMT 1.2BSIV,550000,2019,Trustmark Dealer,7883,First Owner,Petrol,Automatic,Maruti
200,Maruti Swift Dzire LDI,390000,2013,Trustmark Dealer,50205,First Owner,Diesel,Manual,Maruti
201,Mahindra Bolero DI AC BSIII,260000,2008,Individual,220000,First Owner,Diesel,Manual,Mahindra
202,Tata Tigor 1.05 Revotorq XT,395000,2017,Dealer,58000,First Owner,Diesel,Manual,Tata
203,Mahindra Scorpio SLE BSIII,550000,2012,Individual,170000,First Owner,Diesel,Manual,Mahindra
204,Maruti Swift Dzire VXI 1.2 BS IV,650000,2018,Individual,15000,First Owner,Petrol,Manual,Maruti
205,Maruti Swift DDiS LDI,375000,2016,Dealer,71245,First Owner,Diesel,Manual,Maruti
206,Tata Manza ELAN Quadrajet BS IV,300000,2012,Individual,20000,First Owner,Diesel,Manual,Tata
207,Toyota Etios VX,450000,2016,Dealer,52000,First Owner,Petrol,Manual,Toyota
208,Honda Brio S MT,335000,2015,Individual,61000,First Owner,Petrol,Manual,Honda
209,Kia Seltos GTK,1300000,2019,Individual,7000,First Owner,Petrol,Manual,Kia
210,Maruti Alto K10 VXI,360000,2018,Individual,20000,First Owner,Petrol,Manual,Maruti
211,Maruti Celerio ZXI,505000,2020,Individual,8700,First Owner,Petrol,Manual,Maruti
212,Maruti Alto 800 LXI,310000,2019,Individual,25000,First Owner,Petrol,Manual,Maruti
213,Hyundai i20 Asta Option BSIV,545000,2015,Dealer,42000,First Owner,Petrol,Manual,Hyundai
214,Mahindra Xylo E4,300000,2009,Individual,120000,First Owner,Diesel,Manual,Mahindra
215,Chevrolet Aveo 1.4 LS Limited Edition,200000,2009,Individual,60000,First Owner,Petrol,Manual,Chevrolet
216,Mahindra Bolero DI,150000,2006,Individual,120000,First Owner,Diesel,Manual,Mahindra
217,Maruti Baleno Delta 1.2,580000,2018,Individual,50000,First Owner,Petrol,Manual,Maruti
218,Maruti Wagon R VXI BS IV,250000,2011,Individual,58000,First Owner,Petrol,Manual,Maruti
219,Hyundai Verna 1.4 VTVT,650000,2017,Individual,36000,First Owner,Petrol,Manual,Hyundai
220,Maruti SX4 S Cross DDiS 200 Zeta,800000,2016,Individual,80000,First Owner,Diesel,Manual,Maruti
221,Audi Q3 2.0 TDI Quattro Premium Plus,1475000,2013,Dealer,71000,First Owner,Diesel,Automatic,Audi
222,Maruti Ertiga VDI,409999,2018,Individual,30000,First Owner,Diesel,Manual,Maruti
223,Ford Ecosport 2015-2021 1.5 TDCi Titanium BSIV,531000,2015,Dealer,162828,First Owner,Diesel,Manual,Ford
224,Ford Ecosport 2015-2021 1.5 Diesel Titanium Plus BSIV,890000,2018,Individual,7500,First Owner,Diesel,Manual,Ford
225,Tata Safari Storme EX,775000,2016,Dealer,47227,First Owner,Diesel,Manual,Tata
226,Maruti Wagon R CNG LXI BSIV,434999,2018,Dealer,52000,First Owner,CNG,Manual,Maruti
227,Ford Figo Diesel ZXI,185000,2012,Dealer,74000,First Owner,Diesel,Manual,Ford
228,Mahindra Bolero 2011-2019 SLX,440000,2011,Dealer,47000,First Owner,Diesel,Manual,Mahindra
229,Hyundai i20 Sportz 1.2,450000,2015,Individual,50000,First Owner,Petrol,Manual,Hyundai
230,Maruti Baleno Zeta 1.2,600000,2017,Individual,100000,First Owner,Petrol,Manual,Maruti
231,Maruti Celerio VXI,320000,2014,Individual,35000,First Owner,Petrol,Manual,Maruti
232,Hyundai i20 Active 1.4 SX,700000,2016,Individual,50000,First Owner,Diesel,Manual,Hyundai
233,Ford Aspire 1.2 Ti-VCT Titanium,630000,2018,Individual,10000,First Owner,Petrol,Manual,Ford
234,Maruti Alto 800 VXI Airbag,320000,2016,Individual,10370,First Owner,Petrol,Manual,Maruti
235,Honda City V MT,465000,2013,Dealer,62000,First Owner,Petrol,Manual,Honda
236,Tata Manza Aura Quadrajet BS IV,275000,2011,Individual,70000,First Owner,Diesel,Manual,Tata
237,Nissan Sunny Diesel XL,370000,2013,Individual,250000,First Owner,Diesel,Manual,Nissan
238,Hyundai i20 Sportz 1.2,550000,2016,Individual,40000,First Owner,Petrol,Manual,Hyundai
239,Maruti Swift VVT VXI,445000,2017,Individual,60000,First Owner,Petrol,Manual,Maruti
240,Tata Safari Storme VX,705000,2013,Dealer,67231,First Owner,Diesel,Manual,Tata
241,Maruti Wagon R CNG LXI BSIV,270000,2013,Dealer,64000,First Owner,CNG,Manual,Maruti
242,Nissan Micra Diesel XV,420000,2012,Dealer,142587,First Owner,Diesel,Manual,Nissan
243,Honda City i DTec SV,475000,2014,Dealer,63000,First Owner,Diesel,Manual,Honda
244,Toyota Fortuner 4x4 MT,1755000,2015,Individual,80000,First Owner,Diesel,Manual,Toyota
245,Honda City 2017-2020 VTEC,350000,2011,Dealer,55000,First Owner,Petrol,Manual,Honda
246,Hyundai i20 2015-2017 Sportz Option 1.2,575000,2016,Dealer,11000,First Owner,Petrol,Manual,Hyundai
247,Toyota Etios Liva GD,466000,2016,Dealer,66000,First Owner,Diesel,Manual,Toyota
248,Renault KWID 1.0 RXT Optional,360000,2017,Individual,17000,First Owner,Petrol,Manual,Renault
249,Maruti Alto 800 VXI Optional,275000,2017,Individual,25000,First Owner,Petrol,Manual,Maruti
250,Datsun GO Plus D,320000,2016,Individual,33350,First Owner,Petrol,Manual,Datsun
251,Maruti Omni 5 Str STD,95000,2000,Individual,45000,First Owner,Petrol,Manual,Maruti
252,Hyundai Grand i10 Magna,370000,2015,Dealer,62000,First Owner,Petrol,Manual,Hyundai
253,Honda Brio E MT,250000,2013,Individual,30000,First Owner,Petrol,Manual,Honda
254,Maruti Swift Dzire ZXi,275000,2009,Individual,59000,First Owner,Petrol,Manual,Maruti
255,Mercedes-Benz GLA AMG 45 4MATIC,1950000,2015,Dealer,20000,First Owner,Petrol,Automatic,Mercedes-Benz
256,Honda City i VTEC V,550000,2014,Dealer,86113,First Owner,Petrol,Manual,Honda
257,Toyota Corolla Altis Diesel D4DG,1325000,2016,Dealer,45000,First Owner,Diesel,Manual,Toyota
258,Maruti Swift Dzire VDI,750000,2018,Individual,10000,First Owner,Diesel,Manual,Maruti
259,Nissan Micra XV,290000,2011,Dealer,70000,First Owner,Petrol,Manual,Nissan
260,Maruti Wagon R VXI,272000,2015,Individual,92537,First Owner,Petrol,Manual,Maruti
261,Maruti Ciaz 1.3 Alpha,951000,2019,Dealer,27645,First Owner,Diesel,Manual,Maruti
262,Maruti Alto K10 2010-2014 VXI,280000,2013,Individual,46242,First Owner,Petrol,Manual,Maruti
263,Honda City V MT AVN,545000,2013,Individual,70000,First Owner,Petrol,Manual,Honda
264,Renault KWID RXT,450000,2020,Individual,6000,First Owner,Petrol,Manual,Renault
